lat	lon	map_year	map_key	map_source	map_query_time_stamp	is_grass	category001
51.390427	11.876855	2015	EUR_Pflugmacher	http://134.94.199.14/grasslands-pdt/landCoverMaps/europe_landcover_2015_RSE-Full3.tif	2024-08-16T09:23:35.239746+00:00	True	grassland
51.390427	11.876855	2015	GER_Lange_2017	https://data.mendeley.com/public-files/datasets/m9rrv26dvf/files/d871429a-b2a6-4592-b3e5-4650462a9ac3/file_downloaded	2024-08-16T09:23:46.024906+00:00	False	non-grassland
51.390427	11.876855	2016	GER_Preidl	http://134.94.199.14/grasslands-pdt/landCoverMaps/preidl-etal-RSE-2020_land-cover-classification-germany-2016.tif	2024-08-16T09:23:36.557300+00:00	True	Grassland
51.390427	11.876855	2017	GER_Schwieder_2017	https://zenodo.org/records/10640528/files/CTM_GER_2017_rst_v202_COG.tif	2024-08-16T09:23:37.355327+00:00	True	Fallow land
51.390427	11.876855	2018	EUR_hrl_grassland	https://image.discomap.eea.europa.eu/arcgis/rest/services/GioLandPublic/HRL_Grassland_2018/ImageServer	2024-08-16T09:23:34.681609+00:00	True	grassland
51.390427	11.876855	2018	GER_Schwieder_2018	https://zenodo.org/records/10640528/files/CTM_GER_2018_rst_v202_COG.tif	2024-08-16T09:23:39.071153+00:00	True	Cultivated grassland
51.390427	11.876855	2019	GER_Schwieder_2019	https://zenodo.org/records/10640528/files/CTM_GER_2019_rst_v202_COG.tif	2024-08-16T09:23:40.765849+00:00	True	Cultivated grassland
51.390427	11.876855	2020	GER_Schwieder_2020	https://zenodo.org/records/10640528/files/CTM_GER_2020_rst_v202_COG.tif	2024-08-16T09:23:42.443151+00:00	False	Winter barley
51.390427	11.876855	2021	GER_Schwieder_2021	https://zenodo.org/records/10640528/files/CTM_GER_2021_rst_v202_COG.tif	2024-08-16T09:23:43.910563+00:00	False	Winter rye
